,action,reward,self.observation,self.state
181,60.0,1.2903699071229595,[ 18.9  -28.01 260.   172.  ],"[0.2938, 0.2991, 0.21, 0.24]"
182,60.0,1.2575239438152634,[ 13.35 -41.79 239.   141.  ],"[0.2742, 0.2902, 0.2, 0.24]"
183,12.0,1.4131307073937671,[  6.13 -54.31  75.    98.  ],"[0.3015, 0.25, 0.22, 0.22]"
184,0.0,1.5545860389610389,[ -2.3  -65.71  83.    43.  ],"[0.3, 0.24, 0.21, 0.22]"
185,20.0,1.3567431510601053,[ 21.74  18.07  13.   125.  ],"[0.21, 0.2, 0.3176, 0.3092]"
186,33.0,1.3162728920618214,[ 23.48   2.56  15.   164.  ],"[0.24, 0.21, 0.2309, 0.3318]"
187,40.0,1.1708639682241129,[ 22.59 -13.09  16.   180.  ],"[0.2368, 0.2335, 0.2, 0.21]"
188,3.0,1.5663431431370072,[ 19.17 -28.08  34.   164.  ],"[0.34, 0.29, 0.26, 0.29]"
189,0.0,1.452922077922078,[ 13.61 -41.89   0.    85.  ],"[0.22, 0.21, 0.21, 0.22]"
190,0.0,1.4017857142857142,[  6.38 -54.44   0.    53.  ],"[0.21, 0.2, 0.2, 0.21]"
191,0.0,1.4395292207792207,[22.01 18.16  0.   77.  ],"[0.22, 0.2, 0.21, 0.22]"
192,0.0,1.4751552795031058,[ 23.76   2.6    0.   102.  ],"[0.23, 0.21, 0.21, 0.23]"
193,0.0,1.4751552795031058,[ 22.87 -13.11   0.   111.  ],"[0.23, 0.21, 0.21, 0.23]"
194,0.0,1.4751552795031058,[ 19.45 -28.15   0.   106.  ],"[0.23, 0.21, 0.21, 0.23]"
195,0.0,1.452922077922078,[ 13.88 -42.     0.    86.  ],"[0.22, 0.21, 0.21, 0.22]"
196,0.0,1.4017857142857142,[  6.63 -54.58   0.    55.  ],"[0.21, 0.2, 0.2, 0.21]"
197,0.0,1.427353896103896,[18.09 32.98  0.   75.  ],"[0.21, 0.2, 0.21, 0.22]"
198,56.0,0.553688909774436,[22.28 18.26  0.   79.  ],"[0.19, 0.19, 0.2009, 0.264]"
199,20.0,1.3783071664153705,[ 24.04   2.64  20.   167.  ],"[0.22, 0.2, 0.3164, 0.3273]"
200,0.0,1.7904236220379026,[ 23.15 -13.13  37.   176.  ],"[0.3233, 0.3002, 0.3, 0.35]"
201,0.0,1.733991461270484,[ 19.73 -28.23  15.   177.  ],"[0.3532, 0.3429, 0.24, 0.27]"
202,0.0,1.6690681004323786,[ 14.14 -42.12  12.   145.  ],"[0.3082, 0.3145, 0.23, 0.25]"
203,0.0,1.4640386787125919,[  6.88 -54.72   4.    94.  ],"[0.23, 0.21, 0.21, 0.22]"
204,60.0,0.5405440685045947,[22.56 18.36  0.   80.  ],"[0.19, 0.19, 0.256, 0.2475]"
205,20.0,1.432454706492056,[ 24.33   2.68  69.   150.  ],"[0.24, 0.22, 0.3243, 0.33299999999999996]"
206,23.0,1.2062048865889197,[ 23.45 -13.16  37.   179.  ],"[0.3002, 0.306, 0.21, 0.22]"
207,1.0,1.6383928571428572,[ 20.01 -28.31  36.   171.  ],"[0.35, 0.3, 0.27, 0.3]"
208,60.0,0.5405440685045947,[ 14.41 -42.24   0.    90.  ],"[0.2963, 0.3111, 0.19, 0.19]"
